WaspID,HostSpecies,Body Length,Body Width,Elytron Chord Length,Body Depth,Pronotum Length,Pronotum Width,Abdominal Length,Abdominal Width
1_C7_into_Cm_1_G3,C. maculata,4.977,3.05,4.235,1.521,1.441,1.785,3.915,2.489
1_C7_into_Cm_10_G4,C. maculata,5.152,3.047,4.277,1.78,1.287,1.8,4.208,2.424
1_C7_into_Cm_2_G3,C. maculata,5.358,2.871,4.279,1.602,1.488,1.758,3.997,2.305
1_C7_into_Cm_22_G1_2Aa2,C. maculata,5.843,3.396,4.752,1.925,1.621,2.032,4.165,2.798
1_C7_into_Cm_23_G1_2Ab2,C. maculata,4.998,3.051,4.029,1.623,1.296,1.65,3.578,2.28
1_C7_into_Cm_24_G1_2Aa5,C. maculata,5.72,3.28,4.319,1.89,1.097,2.011,3.969,2.559
1_C7_into_Cm_25_G1_2Ab5,C. maculata,6.298,3.629,4.981,2.188,1.486,2.137,4.748,2.636
1_C7_into_Cm_3_G3,C. maculata,5.073,2.838,3.922,1.5,1.192,1.847,3.636,2.316
1_C7_into_Cm_4_G3,C. maculata,5.572,3.081,4.504,1.71,1.441,1.989,4.089,2.61
1_C7_into_Cm_5_G3,C. maculata,4.899,3.038,4.355,1.724,1.21,1.873,3.915,2.597
1_C7_into_Hc_into_Cm_G1_A_2Da3,C. maculata,6.035,3.454,4.448,1.954,1.395,2.472,4.42,2.887
1_C7_into_Hc_into_Cm_G1_B_2Db3,C. maculata,5.376,3.186,4.564,1.831,1.256,2.224,4.078,2.71
1_C7_into_Hc_into_Cm_G1_C_2Dc3,C. maculata,5.155,2.953,4.272,1.704,1.323,2.096,3.337,2.459
1_Hc_into_Cm_1_G1 2Cb2,C. maculata,6.251,3.508,4.962,1.957,1.357,2.012,4.363,2.796
1_Hc_into_Cm_13_C_2Cc2,C. maculata,5.497,3.246,4.382,1.863,1.435,1.886,3.721,2.622
1_Hc_into_Cm_2_A_G1_2Ca2,C. maculata,5.628,3.502,4.682,1.902,1.386,1.967,4.121,2.775
1_Hc_into_Cm_3_2Ca4,C. maculata,5.968,3.405,4.903,1.602,1.427,2.419,4.41,2.772
2_Hc_into_Cm_1_G3,C. maculata,5.527,3.258,4.273,1.784,1.268,1.608,4.052,2.602
2_Hc_into_Cm_13_G1_3Ba4,C. maculata,5.767,3.255,4.683,1.893,1.532,2.143,4.486,2.738
2_Hc_into_Cm_2_G3,C. maculata,5.337,3.012,4.171,1.39,1.263,1.608,3.918,2.454
1_C7_into_Cm_into_C7_G1_3Aa3,C. septempunctata,7.002,5.316,6.11,2.868,1.982,2.948,5.354,4.43
1_Cm_into_C7_1_G1,C. septempunctata,7.317,5.514,6.324,3.083,2.174,3.079,5.315,4.18
1_Cm_into_C7_2_G1_3A_1,C. septempunctata,6.568,4.978,6.242,2.828,1.925,2.861,5.045,4.006
1_Cm_into_C7_3_G2_3Aa4,C. septempunctata,7.207,5.01,6.556,3.008,2.123,3.548,5.056,4.308
2_Cm_into_C7_3_G1,C. septempunctata,6.704,5.075,5.682,2.606,1.88,2.619,5.414,4.137
2_Hc_into_C7_1_G2,C. septempunctata,5.896,4.66,5.279,2.478,1.588,2.772,4.436,3.695
2_Hc_into_C7_5_G1_3Ga2,C. septempunctata,5.506,4.178,5.108,2.438,1.37,2.708,5.043,3.115
1_C7_into_Cm_into_Hc_G1_1Ca3,H. convergens,5.407,3.108,4.418,1.837,1.526,2.513,4.023,2.73
1_C7_into_Cm_into_Hc_G1_1Cc3,H. convergens,5.413,3.557,4.586,1.7,1.265,2.258,3.741,2.877
1_C7_into_Hc_3_G2_a_1Da2,H. convergens,5.359,3.607,4.666,2.113,1.606,2.022,3.861,3.103
1_C7_into_Hc_4_G2_B_1Db2,H. convergens,4.635,2.789,3.86,1.743,1.13,2.18,3.382,2.322
1_Cm_into_Hc_1_G1,H. convergens,6.104,3.928,5.305,2.333,1.619,2.243,4.449,3.3
1_Cm_into_Hc_1_G1_1C_1_1D_1,H. convergens,5.998,3.863,5.203,2.215,1.712,2.125,4.389,3.171
1_Cm_into_Hc_2_G1,H. convergens,5.039,3.191,4.31,1.874,1.499,1.827,3.583,2.674
2_C7_into_Hc_1_G1,H. convergens,5.328,3.342,4.435,1.817,1.738,2.287,3.928,2.795
2_Cm_into_Hc_1_G1,H. convergens,5.945,3.776,4.926,1.946,1.727,2.477,4.531,3.25
2_Cm_into_Hc_2_G2,H. convergens,5.49,3.565,4.525,1.96,1.411,2.128,4.387,2.909
2_Hc_into_C7_into_Hc_1_G1,H. convergens,5.975,3.906,5.103,1.842,1.924,2.385,4.219,3.17
2_Hc_into_Cm_into_Hc_1_G1,H. convergens,5.822,3.726,4.889,2.226,1.776,2.004,4.511,3.393
2_Hc_into_Hc_1_G3,H. convergens,5.952,3.892,4.94,1.939,1.68,1.781,4.524,3.141
2_Hc_into_Hc_12_1Ba3,H. convergens,6.704,4.068,5.545,2.495,1.991,2.754,4.908,3.45
2_Hc_into_Hc_2_G3,H. convergens,5.262,3.459,4.685,1.672,1.402,2.014,4.216,9.808
2_Hc_into_Hc_3_G3,H. convergens,5.444,3.792,4.827,2.017,1.3,2.011,4.227,3.236
2_Hc_into_Hc_6_G1_1Ba1,H. convergens,6.066,3.844,4.926,2.084,1.575,2.592,4.51,3.315